optimizer,lr,epoch,accuracy,loss,test_accuracy,test_loss
SGD,0.001,200,0.939939975738525,0.206018671393394,0.937699973583221,0.214457497000694
SGD,0.002,200,0.961179971694946,0.136763244867325,0.954500019550324,0.157831609249115
SGD,0.003,200,0.973760008811951,0.092849425971508,0.964200019836426,0.126225188374519
SGD,0.004,200,0.981459975242615,0.06754494458437,0.96399998664856,0.114776059985161
SGD,0.005,200,0.984179973602295,0.058871693909168,0.967299997806549,0.109166286885738
SGD,0.006,200,0.990079998970032,0.041341807693243,0.968400001525879,0.104716956615448
SGD,0.007,200,0.992540001869202,0.033683460205793,0.96780002117157,0.104393020272255
SGD,0.008,200,0.994480013847351,0.028095321729779,0.970099985599518,0.10005372017622
SGD,0.009,200,0.996580004692077,0.020452143624425,0.967899978160858,0.109493397176266
SGD,0.01,200,0.997600018978119,0.016765363514423,0.972000002861023,0.103784158825874
SGD,0.011,200,0.998179972171783,0.014003808610141,0.966799974441528,0.122527584433556
SGD,0.012,200,0.999080002307892,0.010749536566436,0.968800008296967,0.114824913442135
SGD,0.013,200,0.999239981174469,0.00878987647593,0.968200027942658,0.122034817934036
SGD,0.014,200,0.999539971351624,0.008347381837666,0.967000007629394,0.129880517721176
SGD,0.015,200,0.999859988689423,0.006045376416296,0.968699991703033,0.129637956619263
SGD,0.016,200,0.999939978122711,0.004785392433405,0.968200027942658,0.130744859576225
SGD,0.017,200,0.999819993972778,0.005201521795243,0.970099985599518,0.125026389956474
SGD,0.018,200,0.999920010566711,0.004645958077163,0.966099977493286,0.142895221710205
SGD,0.019,200,0.999979972839356,0.003437614999712,0.971199989318848,0.129107147455215
SGD,0.02,200,1,0.003107907949016,0.969299972057342,0.137294679880142
SGD,0.021,200,0.999979972839356,0.002781371353194,0.969099998474121,0.146029651165009
SGD,0.022,200,1,0.002566832816228,0.972299993038178,0.136175692081451
SGD,0.023,200,1,0.002223434625193,0.968500018119812,0.143457978963852
SGD,0.024,200,1,0.002068303991109,0.970399975776672,0.140674456954002
SGD,0.025,200,0.999979972839356,0.001921233371831,0.968800008296967,0.141419366002083
SGD,0.026,200,1,0.001745253917761,0.968800008296967,0.1513951420784
SGD,0.027,200,1,0.00158472370822,0.9685999751091,0.148798182606697
SGD,0.028,200,1,0.001412378391251,0.970099985599518,0.147527694702148
SGD,0.029,200,1,0.001383181195706,0.970899999141693,0.134099170565605
SGD,0.03,200,1,0.001481553073972,0.970899999141693,0.145453408360481
SGD,0.031,200,1,0.001298848772421,0.97000002861023,0.161826580762863
SGD,0.032,200,1,0.001019195304252,0.971099972724915,0.150578573346138
SGD,0.033,200,1,0.001115962164477,0.971700012683868,0.141940429806709
SGD,0.034,200,1,0.001130619901232,0.971300005912781,0.150595903396606
SGD,0.035,200,0.999979972839356,0.001079565146938,0.96969997882843,0.160348951816559
SGD,0.036,200,1,0.000945005391259,0.971599996089935,0.148945063352585
SGD,0.037,200,1,0.000881566025782,0.969600021839142,0.154657125473022
SGD,0.038,200,1,0.000801577349193,0.971000015735626,0.148431167006493
SGD,0.039,200,1,0.000788259378169,0.971700012683868,0.143938854336739
SGD,0.04,200,1,0.00077829498332,0.971400022506714,0.15402926504612
SGD,0.041,200,1,0.000769203412347,0.970099985599518,0.172196373343468
SGD,0.042,200,1,0.000688394415192,0.970499992370606,0.156936168670654
SGD,0.043,200,1,0.000683116377331,0.969600021839142,0.159867152571678
SGD,0.044,200,1,0.000616958539467,0.971599996089935,0.151517361402512
SGD,0.045,200,1,0.00057415018091,0.971700012683868,0.154627352952957
SGD,0.046,200,1,0.000576486985665,0.970899999141693,0.156653344631195
SGD,0.047,200,1,0.00057862122776,0.973100006580353,0.148719891905785
SGD,0.048,200,1,0.000535622413736,0.971599996089935,0.164173662662506
SGD,0.049,200,1,0.00056725484319,0.972500026226044,0.156022146344185
SGD,0.05,200,1,0.000508147000801,0.97189998626709,0.157015010714531
SGD,0.051,200,1,0.000507732038386,0.969200015068054,0.162558302283287
SGD,0.052,200,1,0.000458704715129,0.972000002861023,0.147357359528542
SGD,0.053,200,1,0.000470557366498,0.971199989318848,0.158498257398605
SGD,0.054,200,1,0.000438540388132,0.971499979496002,0.16129158437252
SGD,0.055,200,1,0.00042240525363,0.970399975776672,0.176905363798141
SGD,0.056,200,1,0.000449137674877,0.970600008964539,0.172989681363106
SGD,0.057,200,1,0.00041815705481,0.971599996089935,0.165790840983391
SGD,0.058,200,1,0.000385684281355,0.97350001335144,0.146992981433868
SGD,0.059,200,1,0.000403992424253,0.970700025558472,0.172152325510979
SGD,0.06,200,1,0.000410938315326,0.971199989318848,0.167310550808907
SGD,0.061,200,1,0.000398072588723,0.971300005912781,0.162092223763466
SGD,0.062,200,1,0.000353094947059,0.971300005912781,0.163402542471886
SGD,0.063,200,1,0.000370590452803,0.970499992370606,0.175563186407089
SGD,0.064,200,1,0.000339585443726,0.968699991703033,0.176622539758682
SGD,0.065,200,1,0.000336271594279,0.971000015735626,0.165169432759285
SGD,0.066,200,1,0.000333151692757,0.97079998254776,0.177038282155991
SGD,0.067,200,1,0.000329784204951,0.970899999141693,0.155948013067245
SGD,0.068,200,1,0.000306271278532,0.971400022506714,0.16015736758709
